OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,capacity,lat,lon,name,short_name,station_id,DDLat,DDLon,ORIG_OID,OBJECTID_1,Shape_Leng,zone,LocationID,borough,taxi_R_OBJECTID,taxi_R_tz,taxi_R_total,taxi_R_male,taxi_R_age_under_29,taxi_R_age_30_54,taxi_R_age_55_over,taxi_R_white,taxi_R_black,taxi_R_asian,taxi_R_others,taxi_R_two_or_more,taxi_R_less_high_school,taxi_R_high_school,taxi_R_college,taxi_R_bachelor,taxi_W_OBJECTID,taxi_W_tz,taxi_W_total,taxi_W_male,taxi_W_age_under_29,taxi_W_age_30_54,taxi_W_age_55_over,taxi_W_white,taxi_W_black,taxi_W_asian,taxi_W_others,taxi_W_two_or_more,taxi_W_less_high_school,taxi_W_high_school,taxi_W_college,taxi_W_bachelor,nyu_2451_34513_statefp,nyu_2451_34513_countyfp,nyu_2451_34513_tractce,nyu_2451_34513_geoid,nyu_2451_34513_name,nyu_2451_34513_namelsad,nyu_2451_34513_mtfcc,nyu_2451_34513_funcstat,nyu_2451_34513_aland,nyu_2451_34513_awater,nyu_2451_34513_intptlat,nyu_2451_34513_intptlon,nyu_2451_34513_ct,census_csv_CensusTract,census_csv_County,census_csv_Borough,census_csv_Income,census_csv_IncomePerCap,census_csv_Drive,census_csv_Carpool,census_csv_Transit,census_csv_Walk,census_csv_OtherTransp,census_csv_WorkAtHome,census_csv_MeanCommute,census_csv_Employed,census_csv_PrivateWork,census_csv_PublicWork,census_csv_SelfEmployed,census_csv_FamilyWork,census_csv_Unemployment
11,1,11,1,11,31,40.731724280000002,-74.006744359999999,Barrow St & Hudson St,5805.050000000000182,127,40.73173254N,074.00674581W,11,158,0.054809990551500,Meatpacking/West Village West,158,Manhattan,156,158,5867,0.545594000340890,0.195329810806204,0.588546105334924,0.216124083858872,0.834498039884098,0.063916822907789,0.074995738878473,0.005113345832623,0.021476052497017,0.066814385546276,0.136867223453213,0.201977160388614,0.399011419805693,152,158,14832,0.532699568500539,0.278519417475728,0.557578209277238,0.163902373247033,0.711906688241640,0.161677454153182,0.101604638619202,0.006270226537217,0.018540992448759,0.096615426105717,0.153923948220065,0.197613268608414,0.273327939590076,36,061,006900,36061006900,69,Census Tract 69,G5020,S,224989,269970,+40.7294317,-074.0124667,36061006900.000000000000000,36061006900.000000000000000,New York,Manhattan,183750,139299,8.199999999999999,0.000000000000000,44.899999999999999,16.100000000000001,15.900000000000000,14.900000000000000,26.399999999999999,0.595622120000000,85.099999999999994,6.300000000000000,8.600000000000000,0.000000000000000,3.400000000000000
12,1,12,1,12,30,40.727102580000000,-74.002970880000007,MacDougal St & Prince St,5687.039999999999964,128,40.72711084N,074.00297233W,12,125,0.049732212175700,Hudson Sq,125,Manhattan,123,125,1572,0.523536895674300,0.212468193384224,0.590330788804071,0.197201017811705,0.799618320610687,0.069974554707379,0.106870229007634,0.006361323155216,0.017175572519084,0.066157760814249,0.125954198473282,0.202290076335878,0.393129770992366,119,125,30834,0.527307517675293,0.259324122721671,0.590484530064215,0.150191347214114,0.733346306025816,0.151812933774405,0.089900758902510,0.005902575079458,0.019037426217812,0.071706557696050,0.137088927806966,0.197217357462541,0.334663034312772,36,061,003700,36061003700,37,Census Tract 37,G5020,S,409861,295543,+40.7260999,-074.0117336,36061003700.000000000000000,36061003700.000000000000000,New York,Manhattan,129904,117725,3.700000000000000,2.700000000000000,56.200000000000003,19.600000000000001,10.600000000000000,7.200000000000000,24.500000000000000,0.614403601000000,90.599999999999994,1.600000000000000,7.800000000000000,0.000000000000000,3.400000000000000
13,1,13,1,13,24,40.692395019999999,-73.993379090000005,Clinton St & Joralemon St,4605.039999999999964,143,40.69240327N,073.99338053W,13,33,0.053270293196700,Brooklyn Heights,33,Brooklyn,32,33,12611,0.495519784315280,0.170565379430656,0.644358100071366,0.185076520497978,0.791689794623741,0.084212195702165,0.099833478709064,0.005154230433748,0.019110300531282,0.068828800253747,0.140908730473396,0.216319086511775,0.403378003330426,31,33,15811,0.416861678578205,0.221364872557081,0.553412181392701,0.225222946050218,0.614319144899121,0.283853013724622,0.074188855859844,0.008728100689393,0.018910884827019,0.117513123774587,0.174562013787869,0.225286193156663,0.261273796723800,36,047,000700,36047000700,7,Census Tract 7,G5020,S,174198,0,+40.6923198,-073.9972991,36047000700.000000000000000,36047000700.000000000000000,Kings,Brooklyn,130966,103138,5.300000000000000,2.900000000000000,63.799999999999997,9.500000000000000,8.400000000000000,10.199999999999999,33.200000000000003,0.635641598000000,81.099999999999994,10.199999999999999,8.699999999999999,0.000000000000000,4.400000000000000
14,1,14,1,14,19,40.698398949999998,-73.980689139999996,Nassau St & Navy St,4812.020000000000437,144,40.69840720N,073.98069058W,14,66,0.054633459363400,DUMBO/Vinegar Hill,66,Brooklyn,65,66,4304,0.496050185873606,0.189126394052045,0.663336431226766,0.147537174721190,0.618726765799256,0.236291821561338,0.119656133828996,0.008364312267658,0.016960966542751,0.095027881040892,0.150789962825279,0.231180297397770,0.333875464684015,63,66,10451,0.556693139412496,0.298153286766817,0.583963257104583,0.117883456128600,0.683570950148311,0.194718208783848,0.095780308104488,0.005741077408860,0.020189455554492,0.091378815424361,0.153095397569611,0.198449909099608,0.258922591139604,36,047,002300,36047002300,23,Census Tract 23,G5020,S,182017,0,+40.6995620,-073.9832760,36047002300.000000000000000,36047002300.000000000000000,Kings,Brooklyn,19066,11069,9.300000000000001,0.000000000000000,78.799999999999997,4.800000000000000,2.800000000000000,4.200000000000000,50.100000000000001,0.279364348000000,81.299999999999997,12.199999999999999,6.500000000000000,0.000000000000000,26.600000000000001
15,1,15,1,15,39,40.716250080000002,-74.009105899999994,Hudson St & Reade St,5359.100000000000364,146,40.71625834N,074.00910735W,15,231,0.063420116558700,TriBeCa/Civic Center,231,Manhattan,229,231,10429,0.549525361971426,0.199156199060313,0.618755393613961,0.182088407325726,0.787707354492281,0.064531594592003,0.126282481541854,0.005944961165979,0.015533608207882,0.062230319301946,0.131843896826158,0.187649822610030,0.419119762201553,225,231,172899,0.471413946870716,0.173517487087837,0.599824174807257,0.226658338104905,0.608985592744897,0.257190614173593,0.106322188098254,0.008316994314600,0.019184610668656,0.081700877390847,0.146039016998363,0.238237352442756,0.360505266080197,36,061,003300,36061003300,33,Census Tract 33,G5020,S,341838,0,+40.7188641,-074.0061467,36061003300.000000000000000,36061003300.000000000000000,New York,Manhattan,,213267,5.700000000000000,1.000000000000000,50.600000000000001,21.800000000000001,12.100000000000000,8.900000000000000,24.800000000000001,0.651748252000000,91.799999999999997,3.000000000000000,5.200000000000000,0.000000000000000,3.500000000000000
16,1,16,1,16,29,40.720873600000004,-73.980857950000001,E 2 St & Avenue C,5476.029999999999745,150,40.72088186N,073.98085939W,16,4,0.043566527092100,Alphabet City,4,Manhattan,3,4,12318,0.497239811657737,0.302890079558370,0.521269686637441,0.175840233804189,0.670482221139795,0.167478486767332,0.129160578015912,0.009904205228121,0.022974508848839,0.111625263841533,0.150917356713752,0.194187368079234,0.240379931807112,2,4,2717,0.482149429517851,0.253220463746780,0.554287817445712,0.192491718807508,0.693411851306588,0.188443135811557,0.092381302907619,0.008833271991167,0.016930437983070,0.128818549871181,0.159735001840265,0.220463746779536,0.237762237762238,36,061,002202,36061002202,22.02,Census Tract 22.02,G5020,S,56090,0,+40.7212601,-073.9811422,36061002202.000000000000000,36061002202.000000000000000,New York,Manhattan,68750,58922,1.900000000000000,0.500000000000000,58.399999999999999,28.399999999999999,7.900000000000000,2.900000000000000,29.100000000000001,0.738979693000000,80.900000000000006,3.000000000000000,14.800000000000001,1.300000000000000,5.500000000000000
17,1,17,1,17,33,40.722103786686027,-73.997249007225051,Cleveland Pl & Spring St,5492.050000000000182,151,40.72211205N,073.99725045W,17,144,0.027620166850500,Little Italy/NoLiTa,144,Manhattan,142,144,6609,0.515055227719776,0.280526554698139,0.541080344984113,0.178393100317749,0.626115902557119,0.058859131487366,0.291269481010743,0.006960205779997,0.016795279164775,0.096535027992132,0.123619307005598,0.180360114994704,0.318958995309427,138,144,29287,0.474442585447468,0.333458531088879,0.520162529449927,0.146378939461194,0.618328951411889,0.116638781712022,0.240926008126472,0.006111926793458,0.017994331956158,0.106292894458292,0.139003653498139,0.175026462252877,0.246218458701813,36,061,004500,36061004500,45,Census Tract 45,G5020,S,104946,0,+40.7205701,-073.9993912,36061004500.000000000000000,36061004500.000000000000000,New York,Manhattan,139079,118156,5.400000000000000,0.000000000000000,53.899999999999999,16.300000000000001,7.100000000000000,17.300000000000001,24.100000000000001,0.569105691000000,85.000000000000000,1.400000000000000,13.600000000000000,0.000000000000000,3.300000000000000
18,1,18,1,18,23,40.690892720000001,-73.996123490000002,Henry St & Atlantic Ave,4531.050000000000182,157,40.69090097N,073.99612493W,18,33,0.053270293196700,Brooklyn Heights,33,Brooklyn,32,33,12611,0.495519784315280,0.170565379430656,0.644358100071366,0.185076520497978,0.791689794623741,0.084212195702165,0.099833478709064,0.005154230433748,0.019110300531282,0.068828800253747,0.140908730473396,0.216319086511775,0.403378003330426,31,33,15811,0.416861678578205,0.221364872557081,0.553412181392701,0.225222946050218,0.614319144899121,0.283853013724622,0.074188855859844,0.008728100689393,0.018910884827019,0.117513123774587,0.174562013787869,0.225286193156663,0.261273796723800,36,047,000700,36047000700,7,Census Tract 7,G5020,S,174198,0,+40.6923198,-073.9972991,36047000700.000000000000000,36047000700.000000000000000,Kings,Brooklyn,130966,103138,5.300000000000000,2.900000000000000,63.799999999999997,9.500000000000000,8.400000000000000,10.199999999999999,33.200000000000003,0.635641598000000,81.099999999999994,10.199999999999999,8.699999999999999,0.000000000000000,4.400000000000000
19,1,19,1,19,35,40.729170250000003,-73.998102309999993,LaGuardia Pl & W 3 St,5721.140000000000327,161,40.72917851N,073.99810376W,19,114,0.031727034771100,Greenwich Village South,114,Manhattan,112,114,6419,0.534195357532326,0.254556784545879,0.549306745599003,0.196136469855118,0.811808692942826,0.058108739679078,0.104844991431687,0.006854650257049,0.018382925689360,0.059978189749182,0.120267954510048,0.189126032092226,0.376071039102664,109,114,25754,0.503727576298827,0.319989127902462,0.507493981517434,0.172516890580104,0.739729750718335,0.124873806010717,0.106663042634154,0.007532810437214,0.021200590199581,0.072998369185369,0.123864254096451,0.176438611477829,0.306709637337889,36,061,006500,36061006500,65,Census Tract 65,G5020,S,201134,0,+40.7299685,-073.9995774,36061006500.000000000000000,36061006500.000000000000000,New York,Manhattan,97718,68694,0.900000000000000,0.700000000000000,59.600000000000001,27.399999999999999,5.300000000000000,6.100000000000000,22.699999999999999,0.601372925000000,86.200000000000003,3.800000000000000,10.000000000000000,0.000000000000000,3.400000000000000
20,1,20,1,20,47,40.753230979999998,-73.970325169999995,E 47 St & 2 Ave,6498.100000000000364,164,40.75323925N,073.97032661W,20,233,0.048035918294000,UN/Turtle Bay South,233,Manhattan,231,233,9600,0.496979166666667,0.296875000000000,0.521979166666667,0.181145833333333,0.749166666666667,0.056354166666667,0.171875000000000,0.005729166666667,0.016875000000000,0.055833333333333,0.111354166666667,0.169895833333333,0.366041666666667,227,233,42274,0.499219378341297,0.209372190944789,0.605218337512419,0.185409471542792,0.696740313194872,0.159625301603823,0.118820078535270,0.007356767753229,0.017457538912807,0.075625680087051,0.133084165207929,0.200052041443914,0.381865922316317,36,061,009000,36061009000,90,Census Tract 90,G5020,S,178097,0,+40.7526521,-073.9700400,36061009000.000000000000000,36061009000.000000000000000,New York,Manhattan,119196,101494,3.400000000000000,1.000000000000000,37.000000000000000,44.700000000000003,5.600000000000000,8.400000000000000,26.800000000000001,0.745004106000000,86.400000000000006,9.500000000000000,4.000000000000000,0.000000000000000,2.200000000000000
21,1,21,1,21,45,40.748900599999999,-73.976048820000003,E 39 St & 3 Ave,6389.029999999999745,167,40.74890886N,073.97605026W,21,170,0.045769009105100,Murray Hill,170,Manhattan,168,170,14419,0.483944795062071,0.325958804355364,0.506415146681462,0.167626048963174,0.787086483112560,0.051806644011374,0.141271932866357,0.006311117275817,0.013523822733893,0.057770996601706,0.105624523198557,0.168666343019627,0.341979332824745,164,170,99255,0.518432320789885,0.253417963830537,0.568817691803939,0.177764344365523,0.699823686464158,0.153735328195053,0.120779809581381,0.007848471109768,0.017812704649640,0.081194902020049,0.134673316205733,0.198287239937535,0.332426578006146,36,061,008000,36061008000,80,Census Tract 80,G5020,S,172623,0,+40.7492588,-073.9776520,36061008000.000000000000000,36061008000.000000000000000,New York,Manhattan,110242,104572,3.300000000000000,1.300000000000000,32.200000000000003,43.200000000000003,7.700000000000000,12.400000000000000,23.600000000000001,0.655500496000000,83.900000000000006,3.800000000000000,11.900000000000000,0.400000000000000,4.900000000000000
22,1,22,1,22,47,40.739713010000003,-73.994564049999994,W 18 St & 6 Ave,6064.079999999999927,168,40.73972127N,073.99456550W,22,234,0.036072199498400,Union Sq,234,Manhattan,232,234,9158,0.526534177768072,0.236405328674383,0.601222974448570,0.162371696877047,0.785761083205940,0.068792312732038,0.121642279973793,0.006442454684429,0.017361869403800,0.061039528281284,0.128630705394191,0.188687486350732,0.385236951299410,228,234,119550,0.512781263069845,0.300618987871184,0.552731074864074,0.146649937264743,0.726440819740694,0.137490589711418,0.108950230029276,0.007419489753241,0.019698870765370,0.075959849435383,0.127519866164785,0.182074445838561,0.313826850690088,36,061,005400,36061005400,54,Census Tract 54,G5020,S,167959,0,+40.7388112,-073.9936780,36061005400.000000000000000,36061005400.000000000000000,New York,Manhattan,132813,117917,7.000000000000000,0.600000000000000,57.200000000000003,21.199999999999999,5.500000000000000,8.600000000000000,23.199999999999999,0.676926435000000,82.299999999999997,3.000000000000000,14.699999999999999,0.000000000000000,1.200000000000000
23,1,23,1,23,51,40.760683270965920,-73.984527289867415,Broadway & W 49 St,6708.020000000000437,173,40.76069154N,073.98452873W,23,230,0.031028309677900,Times Sq/Theatre District,230,Manhattan,228,230,4275,0.548538011695906,0.238128654970760,0.552982456140351,0.208888888888889,0.689122807017544,0.111812865497076,0.169590643274854,0.007017543859649,0.022456140350877,0.074853801169591,0.142690058479532,0.194619883040936,0.349707602339181,224,230,154966,0.568356929907205,0.221829304492598,0.609262676974304,0.168908018533098,0.716447478801802,0.137333350541409,0.120052140469522,0.007866241627196,0.018300788560071,0.069712065872514,0.121375011292800,0.185672986332486,0.401410632009602,36,061,012500,36061012500,125,Census Tract 125,G5020,S,174253,0,+40.7598407,-073.9841752,36061012500.000000000000000,36061012500.000000000000000,New York,Manhattan,150682,121754,5.600000000000000,2.300000000000000,36.399999999999999,47.700000000000003,4.900000000000000,3.100000000000000,23.399999999999999,0.754329440000000,91.900000000000006,4.800000000000000,3.400000000000000,0.000000000000000,3.100000000000000
24,1,24,1,24,30,40.738176500000002,-73.977386620000004,E 25 St & 1 Ave,6004.069999999999709,174,40.73818476N,073.97738806W,24,137,0.046107624270700,Kips Bay,137,Manhattan,135,137,12006,0.472597034815925,0.348908878893886,0.478427452940197,0.172663668165917,0.748292520406463,0.091204397801099,0.135682158920540,0.007412960186573,0.017407962685324,0.062552057304681,0.111777444611028,0.169581875728802,0.307179743461603,131,137,33528,0.385826771653543,0.182116439990456,0.578233118587449,0.239650441422095,0.563081603435934,0.253787878787879,0.147578143641136,0.009931997136722,0.025620376998330,0.085421140539251,0.141583154378430,0.237383679312813,0.353495585779050,36,061,006200,36061006200,62,Census Tract 62,G5020,S,305855,825923,+40.7386044,-073.9728432,36061006200.000000000000000,36061006200.000000000000000,New York,Manhattan,82102,33057,2.300000000000000,2.400000000000000,40.100000000000001,49.500000000000000,2.000000000000000,3.800000000000000,24.800000000000001,0.350749559000000,76.599999999999994,20.199999999999999,3.200000000000000,0.000000000000000,7.400000000000000
