pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2016-01-01 13:51:00,4.4,39.9,-5.0,23.0,51.0,11.1,6.9,35.2,21.9,0,Variable,16.1,10.0,1014.9,29.97,1.7,35.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 14:51:00,3.9,39.0,-6.1,21.0,49.0,18.5,11.5,42.6,26.5,290,WNW,16.1,10.0,1015.0,29.98,-0.1,31.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 15:51:00,3.9,39.0,-6.7,19.9,46.0,,,,,0,North,16.1,10.0,1014.9,29.97,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-01 16:51:00,3.3,37.9,-6.7,19.9,48.0,18.5,11.5,29.6,18.4,280,West,16.1,10.0,1014.8,29.97,-0.9,30.5,,,,,Clear,clear,0,0,0,0,0,0
2016-01-01 17:51:00,3.3,37.9,-6.7,19.9,48.0,13.0,8.1,31.5,19.6,300,WNW,16.1,10.0,1015.3,29.99,0.0,32.1,,,,,Clear,clear,0,0,0,0,0,0
2016-01-01 18:51:00,2.8,37.0,-6.7,19.9,50.0,20.4,12.7,29.6,18.4,290,WNW,16.1,10.0,1015.9,30.0,-1.7,28.9,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2016-01-01 19:51:00,2.8,37.0,-7.2,19.0,48.0,14.8,9.2,25.9,16.1,280,West,16.1,10.0,1016.5,30.02,-0.9,30.4,,,,,Clear,clear,0,0,0,0,0,0
2016-01-01 20:51:00,2.2,36.0,-7.2,19.0,50.0,11.1,6.9,,,290,WNW,16.1,10.0,1016.8,30.03,-0.9,30.3,,,,,Clear,clear,0,0,0,0,0,0
2016-01-01 21:51:00,1.7,35.1,-6.7,19.9,54.0,,,,,0,North,16.1,10.0,1016.6,30.02,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-01 22:51:00,1.7,35.1,-7.2,19.0,52.0,9.3,5.8,,,0,Variable,16.1,10.0,1016.7,30.03,-1.1,30.1,,,,,Clear,clear,0,0,0,0,0,0
2016-01-01 23:51:00,1.7,35.1,-8.9,16.0,46.0,14.8,9.2,31.5,19.6,270,West,16.1,10.0,1016.8,30.03,-2.3,27.9,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 00:51:00,10.0,50.0,2.2,36.0,59.0,13.0,8.1,31.5,19.6,250,WSW,16.1,10.0,1008.0,29.77,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 01:51:00,10.0,50.0,1.7,35.1,57.0,9.3,5.8,,,260,West,16.1,10.0,1007.4,29.75,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 02:51:00,10.0,50.0,2.2,36.0,59.0,13.0,8.1,33.3,20.7,250,WSW,16.1,10.0,1007.1,29.74,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 03:51:00,10.0,50.0,1.7,35.1,57.0,9.3,5.8,,,0,Variable,16.1,10.0,1006.6,29.73,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 04:51:00,10.0,50.0,2.2,36.0,59.0,13.0,8.1,,,260,West,16.1,10.0,1007.1,29.74,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 05:51:00,10.0,50.0,2.2,36.0,59.0,11.1,6.9,25.9,16.1,0,Variable,16.1,10.0,1007.1,29.74,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 06:51:00,9.4,48.9,2.2,36.0,61.0,9.3,5.8,,,0,Variable,16.1,10.0,1007.9,29.77,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 07:51:00,10.0,50.0,2.2,36.0,59.0,13.0,8.1,,,240,WSW,16.1,10.0,1008.4,29.78,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 08:51:00,10.6,51.1,2.2,36.0,56.0,9.3,5.8,,,0,Variable,16.1,10.0,1008.8,29.79,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-02 09:51:00,11.1,52.0,2.8,37.0,57.0,11.1,6.9,,,250,WSW,16.1,10.0,1009.2,29.81,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 10:51:00,12.8,55.0,2.8,37.0,51.0,9.3,5.8,,,280,West,16.1,10.0,1009.0,29.8,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 11:51:00,13.9,57.0,3.3,37.9,49.0,,,,,0,North,16.1,10.0,1009.2,29.81,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 12:51:00,15.0,59.0,3.9,39.0,48.0,11.1,6.9,,,0,Variable,16.1,10.0,1008.7,29.79,,,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2016-01-02 13:51:00,14.4,57.9,3.9,39.0,49.0,11.1,6.9,,,0,Variable,16.1,10.0,1009.1,29.8,,,,,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0
2016-01-02 14:51:00,13.3,55.9,2.8,37.0,49.0,5.6,3.5,,,0,Variable,16.1,10.0,1010.0,29.83,,,,,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0
2016-01-02 15:51:00,11.7,53.1,1.1,34.0,48.0,11.1,6.9,31.5,19.6,0,Variable,8.0,5.0,1011.3,29.87,,,,,0.0,0.0,Light Rain,rain,0,1,0,0,0,0
2016-01-02 16:51:00,11.1,52.0,0.0,32.0,47.0,5.6,3.5,,,350,North,16.1,10.0,1011.6,29.88,,,,,0.3,0.01,Overcast,cloudy,0,0,0,0,0,0
2016-01-02 17:51:00,11.1,52.0,-1.1,30.0,43.0,5.6,3.5,,,290,WNW,16.1,10.0,1013.2,29.92,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-02 18:51:00,10.6,51.1,-2.2,28.0,41.0,11.1,6.9,,,0,Variable,16.1,10.0,1013.8,29.94,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-02 19:51:00,10.0,50.0,-2.2,28.0,43.0,11.1,6.9,,,0,Variable,16.1,10.0,1014.9,29.97,,,,,0.0,0.0,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2016-01-02 20:51:00,8.9,48.0,-4.4,24.1,39.0,7.4,4.6,,,0,Variable,16.1,10.0,1016.1,30.01,,,,,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2016-01-02 21:51:00,8.3,46.9,-4.4,24.1,41.0,0.0,0.0,,,0,North,16.1,10.0,1016.3,30.01,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 22:51:00,7.8,46.0,-2.8,27.0,47.0,9.3,5.8,,,0,Variable,16.1,10.0,1017.6,30.05,6.2,43.1,,,,,Clear,clear,0,0,0,0,0,0
2016-01-02 23:51:00,6.7,44.1,-3.9,25.0,47.0,9.3,5.8,,,0,Variable,16.1,10.0,1018.6,30.08,4.9,40.8,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 00:51:00,8.9,48.0,-2.8,27.0,44.0,14.8,9.2,,,250,WSW,16.1,10.0,1014.4,29.96,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 01:51:00,7.8,46.0,-2.8,27.0,47.0,9.3,5.8,,,0,Variable,16.1,10.0,1014.9,29.97,6.2,43.1,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 02:51:00,8.3,46.9,-2.8,27.0,46.0,13.0,8.1,29.6,18.4,260,West,16.1,10.0,1015.5,29.99,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 03:51:00,7.8,46.0,-2.8,27.0,47.0,7.4,4.6,,,0,Variable,16.1,10.0,1017.3,30.04,6.6,43.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-03 04:51:00,5.6,42.1,-2.8,27.0,55.0,5.6,3.5,,,0,Variable,16.1,10.0,1018.4,30.08,4.6,40.2,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 05:51:00,5.0,41.0,-4.4,24.1,51.0,13.0,8.1,,,310,NW,16.1,10.0,1019.4,30.11,2.1,35.8,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 06:51:00,4.4,39.9,-5.6,21.9,49.0,5.6,3.5,,,0,Variable,16.1,10.0,1020.1,30.13,3.2,37.8,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 07:51:00,3.9,39.0,-6.1,21.0,49.0,11.1,6.9,,,10,North,16.1,10.0,1021.3,30.16,1.1,34.0,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 08:51:00,3.9,39.0,-7.2,19.0,45.0,9.3,5.8,,,0,Variable,16.1,10.0,1021.8,30.18,1.5,34.8,,,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2016-01-03 09:51:00,5.6,42.1,-9.4,15.1,34.0,14.8,9.2,,,40,NE,16.1,10.0,1022.2,30.19,2.5,36.6,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 10:51:00,6.7,44.1,-11.7,10.9,26.0,13.0,8.1,,,70,ENE,16.1,10.0,1021.2,30.16,4.2,39.5,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 11:51:00,8.3,46.9,-10.0,14.0,27.0,7.4,4.6,,,0,Variable,16.1,10.0,1020.4,30.14,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 12:51:00,9.4,48.9,-7.8,18.0,29.0,9.3,5.8,,,0,Variable,16.1,10.0,1019.4,30.11,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 13:51:00,10.6,51.1,-8.3,17.1,26.0,11.1,6.9,,,170,South,16.1,10.0,1018.7,30.09,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 14:51:00,8.9,48.0,-4.4,24.1,39.0,18.5,11.5,29.6,18.4,180,South,16.1,10.0,1018.0,30.06,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 15:51:00,8.3,46.9,-4.4,24.1,41.0,16.7,10.4,31.5,19.6,170,South,16.1,10.0,1016.8,30.03,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-03 16:51:00,7.2,45.0,-2.8,27.0,49.0,9.3,5.8,27.8,17.3,0,Variable,16.1,10.0,1016.0,30.01,5.5,41.8,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2016-01-03 17:51:00,7.2,45.0,-1.1,30.0,56.0,11.1,6.9,25.9,16.1,0,Variable,16.1,10.0,1015.1,29.98,5.1,41.2,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-03 18:51:00,7.2,45.0,0.0,32.0,60.0,14.8,9.2,,,140,SE,16.1,10.0,1014.2,29.95,4.5,40.1,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-03 19:51:00,7.8,46.0,1.7,35.1,66.0,,,,,0,North,16.1,10.0,1011.9,29.88,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-03 20:51:00,8.9,48.0,3.3,37.9,68.0,14.8,9.2,31.5,19.6,140,SE,16.1,10.0,1010.3,29.84,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-03 21:51:00,9.4,48.9,5.0,41.0,74.0,14.8,9.2,29.6,18.4,150,SSE,16.1,10.0,1008.1,29.77,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-03 22:08:00,9.4,48.9,5.0,41.0,74.0,7.4,4.6,,,0,Variable,16.1,10.0,1008.0,29.77,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-03 22:21:00,9.4,48.9,5.6,42.1,77.0,11.1,6.9,,,0,Variable,16.1,10.0,1007.7,29.76,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-03 22:51:00,10.0,50.0,6.7,44.1,80.0,11.1,6.9,31.5,19.6,0,Variable,16.1,10.0,1005.6,29.7,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-03 23:51:00,11.1,52.0,7.2,45.0,77.0,20.4,12.7,29.6,18.4,170,South,16.1,10.0,1003.1,29.62,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-04 00:51:00,17.8,64.0,13.3,55.9,75.0,7.4,4.6,,,0,Variable,16.1,10.0,1007.7,29.76,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-04 01:51:00,18.3,64.9,13.9,57.0,75.0,11.1,6.9,31.5,19.6,180,South,16.1,10.0,1006.8,29.73,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-04 02:51:00,18.9,66.0,13.9,57.0,73.0,9.3,5.8,29.6,18.4,0,Variable,16.1,10.0,1006.5,29.73,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-04 03:51:00,18.9,66.0,14.4,57.9,75.0,7.4,4.6,,,0,Variable,16.1,10.0,1006.6,29.73,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-04 04:51:00,19.4,66.9,14.4,57.9,73.0,11.1,6.9,31.5,19.6,0,Variable,16.1,10.0,1005.8,29.7,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-04 05:24:00,18.9,66.0,14.4,57.9,75.0,7.4,4.6,,,170,South,16.1,10.0,1006.0,29.71,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-04 05:49:00,18.0,64.4,13.0,55.4,73.0,9.3,5.8,,,170,South,16.1,10.0,1006.0,29.71,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-04 05:51:00,17.8,64.0,13.3,55.9,75.0,9.3,5.8,,,160,SSE,16.1,10.0,1005.0,29.68,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-04 13:51:00,22.2,72.0,14.4,57.9,61.0,0.0,0.0,,,0,North,16.1,10.0,1000.0,29.53,,,,,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2016-01-04 14:51:00,23.9,75.0,13.9,57.0,53.0,18.5,11.5,33.3,20.7,260,West,16.1,10.0,999.0,29.5,,,,,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2016-01-04 15:51:00,25.6,78.1,13.3,55.9,46.0,16.7,10.4,29.6,18.4,250,WSW,16.1,10.0,998.0,29.47,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-04 16:51:00,25.6,78.1,12.8,55.0,45.0,13.0,8.1,29.6,18.4,220,SW,16.1,10.0,997.4,29.46,,,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2016-01-04 17:51:00,25.0,77.0,12.2,54.0,45.0,11.1,6.9,,,0,Variable,16.1,10.0,997.9,29.47,,,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2016-01-04 18:51:00,21.7,71.1,13.3,55.9,59.0,0.0,0.0,,,0,North,12.9,8.0,999.0,29.5,,,,,0.0,0.0,Light Rain,rain,0,1,0,0,0,0
2016-01-04 19:51:00,18.9,66.0,14.4,57.9,75.0,5.6,3.5,,,280,West,16.1,10.0,1000.1,29.54,,,,,0.3,0.01,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-04 20:51:00,20.6,69.1,13.9,57.0,65.0,7.4,4.6,,,0,Variable,16.1,10.0,1001.1,29.57,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-04 21:51:00,20.6,69.1,13.3,55.9,63.0,5.6,3.5,,,260,West,16.1,10.0,1001.9,29.59,,,,,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2016-01-04 22:51:00,21.0,69.8,10.0,50.0,49.0,,,,,0,North,16.1,10.0,1003.1,29.62,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-04 23:51:00,16.7,62.1,6.1,43.0,50.0,0.0,0.0,,,0,North,16.1,10.0,1003.7,29.64,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-05 00:51:00,10.0,50.0,0.0,32.0,50.0,5.6,3.5,,,0,Variable,16.1,10.0,1023.7,30.23,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-05 01:51:00,10.0,50.0,2.8,37.0,61.0,,,,,0,North,16.1,10.0,1023.0,30.21,,,,,,,Clear,clear,0,0,0,0,0,0
2016-01-05 02:51:00,10.0,50.0,0.6,33.1,52.0,9.3,5.8,,,150,SSE,16.1,10.0,1022.4,30.19,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2016-01-05 03:51:00,10.0,50.0,0.0,32.0,50.0,0.0,0.0,,,0,North,16.1,10.0,1022.5,30.2,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-05 04:51:00,10.0,50.0,1.1,34.0,54.0,0.0,0.0,,,0,North,16.1,10.0,1022.4,30.19,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-05 05:51:00,10.0,50.0,2.2,36.0,59.0,5.6,3.5,,,0,Variable,16.1,10.0,1022.4,30.19,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-05 06:51:00,10.0,50.0,2.8,37.0,61.0,0.0,0.0,,,0,North,16.1,10.0,1022.9,30.21,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-05 07:51:00,9.4,48.9,2.2,36.0,61.0,11.1,6.9,,,170,South,16.1,10.0,1023.1,30.22,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2016-01-05 08:51:00,8.9,48.0,5.0,41.0,77.0,0.0,0.0,,,0,North,9.7,6.0,1023.9,30.24,,,,,0.3,0.01,Light Rain,rain,0,1,0,0,0,0
2016-01-05 09:51:00,8.3,46.9,6.1,43.0,86.0,5.6,3.5,,,0,Variable,8.0,5.0,1023.2,30.22,,,,,1.3,0.05,Light Rain,rain,0,1,0,0,0,0
2016-01-05 10:48:00,9.0,48.2,6.0,42.8,82.0,11.1,6.9,,,150,SSE,8.0,5.0,1023.6,30.23,,,,,0.8,0.03,Light Rain,rain,0,1,0,0,0,0
2016-01-05 10:51:00,8.9,48.0,6.7,44.1,86.0,9.3,5.8,,,0,Variable,9.7,6.0,1022.7,30.2,,,,,0.8,0.03,Light Rain,rain,0,1,0,0,0,0
2016-01-05 11:16:00,8.9,48.0,5.6,42.1,80.0,0.0,0.0,,,0,North,16.1,10.0,1023.6,30.23,,,,,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0
2016-01-05 11:23:00,8.9,48.0,6.1,43.0,83.0,7.4,4.6,,,0,Variable,16.1,10.0,1023.6,30.23,,,,,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0
2016-01-05 11:51:00,8.3,46.9,6.1,43.0,86.0,13.0,8.1,,,160,SSE,4.0,2.5,1022.2,30.19,,,,,0.5,0.02,Light Rain,rain,0,1,0,0,0,0
