tz,total,male,female,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
84,12100,6153,5947,2466,6724,2910,11022,309,621,56,92,795,1869,2636,4334
85,13799,6029,7770,3048,7492,3259,4156,8688,602,109,244,1879,2730,3407,2735
86,16231,7402,8829,3836,8825,3570,7800,7325,690,153,263,2284,2991,3753,3367
87,10121,5113,5008,3812,5280,1029,7604,648,1629,60,180,464,977,1486,3382
88,1395,768,627,306,862,227,1043,123,190,11,28,75,189,262,563
89,48629,21874,26755,10868,26650,11111,22628,21143,3571,389,898,6105,8819,11312,11525
90,12091,6445,5646,2793,7238,2060,9874,725,1231,59,202,817,1514,2359,4608
91,31078,13733,17345,6400,16824,7854,10425,18083,1744,262,564,3794,5786,7848,7250
92,27346,13311,14035,5220,15277,6849,11656,2975,11989,258,468,3832,4613,5836,7845
93,300,158,142,75,155,70,171,62,47,8,12,48,47,65,65
94,10141,4971,5170,2700,5524,1917,5969,3453,347,152,220,1738,1927,2167,1609
95,42120,20161,21959,6846,25056,10218,28383,3399,9258,296,784,3916,6276,9272,15810
96,394,209,185,90,205,99,257,74,38,13,12,50,69,71,114
97,14355,6817,7538,3123,9008,2224,7889,4616,1370,130,350,1483,2376,3234,4139
98,7422,3629,3793,1442,4037,1943,3621,931,2683,40,147,756,1121,1584,2519
99,122,61,61,29,63,30,77,20,21,2,2,16,22,25,30
100,1064,604,460,190,614,260,677,121,219,14,33,116,180,243,335
101,10307,4998,5309,2125,5274,2908,6067,1215,2777,68,180,947,1566,2250,3419
102,16269,8312,7957,3388,9317,3564,13564,1444,881,146,234,1860,2683,3663,4675
103,200,102,98,38,114,48,109,48,25,7,11,27,42,53,40
105,135,58,77,52,55,28,77,30,16,5,7,18,25,13,27
106,3728,1820,1908,845,2359,524,2862,396,364,39,67,354,528,792,1209
107,14587,7187,7400,4489,7575,2523,11810,768,1720,83,206,810,1639,2452,5197
108,10613,4901,5712,2102,5787,2724,6916,1351,2117,63,166,1200,1771,2365,3175
109,17196,8581,8615,3515,9660,4021,15944,447,599,44,162,1150,2574,3971,5986
110,40,16,24,9,16,15,26,6,5,2,1,4,6,13,8
111,169,94,75,49,76,44,82,50,24,5,8,23,24,35,38
112,20126,10338,9788,5136,12045,2945,17069,1127,1414,123,393,1658,2978,4086,6268
113,9631,5073,4558,1924,5593,2114,8020,492,898,59,162,610,1288,1967,3842
114,6419,3429,2990,1634,3526,1259,5211,373,673,44,118,385,772,1214,2414
115,9541,4498,5043,2018,5288,2235,4790,3328,1155,69,199,1049,1751,2203,2520
116,22230,10995,11235,6257,12076,3897,12740,7649,1053,280,508,2968,3698,4650,4657
117,13446,5937,7509,3053,7624,2769,5677,6745,620,146,258,1873,2529,3154,2837
118,13342,6551,6791,2567,7267,3508,10758,706,1680,51,147,1054,2118,3010,4593
119,14328,6816,7512,3717,7992,2619,7580,5802,470,204,272,2475,2677,3195,2264
120,176,87,89,50,76,50,104,36,19,12,5,22,31,39,34
121,13720,6654,7066,2896,7474,3350,7322,2464,3593,107,234,1524,2254,2973,4073
122,9302,4313,4989,1985,5116,2201,2980,5043,981,109,189,1252,1807,2317,1941
123,16466,8173,8293,3426,8758,4282,13492,961,1669,121,223,1550,2724,3624,5142
124,10304,5084,5220,2040,5691,2573,8815,734,559,77,119,918,1625,2447,3274
125,1572,823,749,334,928,310,1257,110,168,10,27,104,198,318,618
126,9790,4703,5087,2581,5479,1730,5713,3234,419,183,241,1764,1830,2109,1506
127,17086,8310,8776,3952,9743,3391,12667,2959,801,248,411,2516,2864,3670,4084
128,174,97,77,44,94,36,85,51,22,7,9,11,35,39,45
129,41474,21492,19982,8436,23518,9520,28956,3621,7647,443,807,5970,7047,8828,11193
130,21511,10557,10954,4872,11837,4802,10496,6117,4051,300,547,3192,3941,4748,4758
131,11682,5637,6045,2198,6353,3131,5212,3621,2454,132,263,1371,1994,2682,3437
132,138,68,70,28,68,42,78,30,23,3,4,9,26,41,34
133,14070,6784,7286,3119,7829,3122,9389,2004,2240,127,310,1603,2326,3023,3999
134,11458,5685,5773,2140,6704,2614,8023,1555,1574,115,191,1266,1882,2610,3560
135,14922,7197,7725,3136,8088,3698,9631,2040,2838,111,302,1540,2382,3339,4525
136,11177,5390,5787,2849,6137,2191,6747,3374,657,177,222,1950,2024,2416,1938
137,12006,5674,6332,4189,5744,2073,8984,1095,1629,89,209,751,1342,2036,3688
138,106,52,54,28,44,34,54,25,19,3,5,9,15,27,27
139,12028,5285,6743,2487,6519,3022,2377,8742,585,96,228,1519,2351,3117,2554
140,14754,6826,7928,3513,8540,2701,11818,780,1835,75,246,913,1792,2844,5692
141,19700,8908,10792,4581,11223,3896,16822,799,1760,92,227,1095,2441,3746,7837
142,14612,7284,7328,2622,8753,3237,12060,765,1509,76,202,920,1902,3003,6165
143,14627,7045,7582,2555,8790,3282,11066,1364,1880,75,242,1057,1984,3109,5922
144,6609,3404,3205,1854,3576,1179,4138,389,1925,46,111,638,817,1192,2108
145,10352,5488,4864,2167,6858,1327,7529,797,1751,75,200,745,1382,2133,3925
146,4001,2126,1875,1055,2259,687,2712,360,783,52,94,441,624,765,1116
147,9075,4371,4704,2509,5019,1547,5360,3035,329,142,209,1512,1661,1958,1435
148,11205,5654,5551,3384,6030,1791,6497,800,3642,80,186,1198,1455,1928,3240
149,16050,7728,8322,3172,8573,4305,12042,1073,2600,87,248,1505,2607,3589,5177
150,4499,2202,2297,774,2439,1286,3731,373,299,26,70,412,732,970,1611
151,15520,7467,8053,2896,8715,3909,11464,2471,1193,117,275,1452,2374,3374,5424
152,9860,4900,4960,2886,5305,1669,5927,3079,479,151,224,1415,1669,2019,1871
153,2810,1336,1474,680,1544,586,1766,843,103,36,62,468,491,605,566
154,329,155,174,93,138,98,200,58,47,10,14,34,51,82,69
155,21053,10290,10763,4212,11606,5235,15334,3681,1572,154,312,1890,3406,4832,6713
156,13239,6241,6998,3174,7304,2761,7062,4534,1230,136,277,1551,2240,3043,3231
157,15427,7925,7502,3110,8849,3468,11883,1207,1937,154,246,1799,2610,3459,4449
158,5867,3201,2666,1146,3453,1268,4896,375,440,30,126,392,803,1185,2341
159,14707,6889,7818,3910,8357,2440,8092,5519,562,214,320,2509,2769,3145,2374
160,19605,9907,9698,3716,11191,4698,16037,1316,1833,149,270,1882,3198,4366,6443
161,2265,1320,945,484,1176,605,1695,240,262,17,51,171,339,448,823
162,3755,2002,1753,1080,2005,670,2821,276,552,31,75,237,451,652,1335
163,4409,2305,2104,902,2391,1116,3410,301,596,31,71,311,549,908,1739
164,5311,2792,2519,1491,2942,878,3690,429,1034,53,105,380,650,913,1877
165,23631,11178,12453,5155,12268,6208,18390,2663,2072,159,347,2246,3903,5157,7170
166,14946,7360,7586,3468,7862,3616,10270,2629,1598,136,313,1347,2157,3138,4836
167,14820,6639,8181,3827,8408,2585,7227,6539,508,238,308,2500,2856,3332,2305
168,18667,8920,9747,5339,10334,2994,10503,6717,709,332,406,3126,3432,3936,2834
169,20466,9895,10571,5457,10999,4010,11614,7032,1031,304,485,3415,3751,4436,3407
170,14419,6978,7441,4700,7302,2417,11349,747,2037,91,195,833,1523,2432,4931
171,21295,10473,10822,4029,11750,5516,11525,1522,7728,169,351,2644,3439,4538,6645
172,9414,4707,4707,1940,5203,2271,8137,431,691,47,108,710,1459,2115,3190
173,13624,7280,6344,3374,7478,2772,9275,2211,1635,223,280,2425,2455,2804,2566
174,15645,7539,8106,3990,8577,3078,9492,4183,1461,214,295,2338,2774,3413,3130
175,11425,5537,5888,1761,6515,3149,6291,743,4192,55,144,1154,1752,2511,4247
176,9362,4767,4595,1873,5255,2234,8364,422,459,39,78,581,1472,2215,3221
177,12971,5846,7125,3377,7140,2454,4084,7984,545,137,221,1701,2464,3040,2389
178,7102,3525,3577,1672,3635,1795,5893,566,486,54,103,628,1158,1482,2162
179,14242,7221,7021,3694,8245,2303,10193,1846,1762,140,301,1458,2118,3000,3972
180,9863,5025,4838,2202,5505,2156,6621,1326,1512,143,261,1264,1686,2153,2558
181,35129,17291,17838,6869,22421,5839,28158,3195,2846,236,694,2713,4919,7547,13081
182,13854,6533,7321,2781,8243,2830,5591,6458,1382,143,280,2031,2655,3506,2881
183,6559,3138,3421,1286,3927,1346,5045,945,412,54,103,816,1141,1589,1727
184,423,195,228,93,215,115,219,123,59,10,12,49,67,111,103
185,12456,6013,6443,2791,7049,2616,8354,2496,1200,142,264,1480,2116,2884,3185
186,2485,1377,1108,543,1445,497,1817,232,356,28,52,180,335,484,943
187,7847,3887,3960,1751,4382,1714,5441,1707,479,62,158,775,1296,1869,2156
188,30844,13736,17108,7058,16648,7138,10835,17761,1458,243,547,3917,5605,7653,6611
189,12438,5919,6519,2766,7728,1944,8449,2684,959,72,274,1053,1831,2645,4143
190,165,97,68,41,68,56,95,37,16,7,10,19,30,29,46
191,25872,12085,13787,5379,14087,6406,9080,12008,3806,329,649,3476,4802,6102,6113
192,8457,4250,4207,1735,4680,2042,3851,655,3727,59,165,1111,1358,1750,2503
193,5185,2353,2832,1392,2823,970,2372,2196,452,55,110,713,932,1211,937
194,294,149,145,82,149,63,148,107,22,4,13,48,47,56,61
195,4548,2104,2444,1183,2668,697,2498,1617,280,52,101,563,775,1015,1012
196,13986,6745,7241,2448,8156,3382,8706,1251,3577,103,349,1475,2177,3082,4804
197,26619,13534,13085,5922,14859,5838,14988,5120,5191,541,779,3855,4579,5900,6363
198,31661,16301,15360,7751,17920,5990,24680,3182,2881,309,609,3965,5323,6705,7917
199,1555,762,793,422,829,304,900,574,47,18,16,209,310,324,290
200,11800,5703,6097,2037,6565,3198,9183,1556,766,89,206,1174,1834,2736,4019
201,8549,4225,4324,1658,4748,2143,6864,1127,417,46,95,791,1401,1999,2700
202,4572,2190,2382,974,2614,984,2916,801,722,34,99,374,626,973,1625
203,11083,4903,6180,2325,6061,2697,2595,7663,536,80,209,1398,2158,2800,2402
204,8489,4317,4172,1728,4729,2032,7764,206,454,16,49,551,1347,1866,2997
205,20184,8772,11412,4212,11182,4790,4078,14800,807,164,335,2701,4071,5274,3926
206,14004,6724,7280,3235,7792,2977,7737,4817,1016,127,307,1596,2388,3178,3607
207,139,69,70,33,67,39,79,25,25,4,6,27,23,28,28
208,18605,9054,9551,3909,10608,4088,13838,3138,1082,209,338,2191,3264,4344,4897
209,3272,1629,1643,667,1920,685,2336,276,573,25,62,236,459,652,1258
210,20848,9880,10968,3927,11248,5673,14805,2447,3209,132,255,1956,3453,4752,6760
211,3929,1952,1977,1052,2082,795,3192,244,396,27,70,245,511,706,1415
212,12594,6095,6499,3110,7076,2408,6901,4184,1060,185,264,1959,2382,2802,2341
213,19940,9169,10771,4798,11302,3840,9447,8980,759,299,455,3162,3803,4619,3558
214,10501,5192,5309,2185,5814,2502,8646,766,884,54,151,884,1647,2309,3476
215,15488,6891,8597,3508,8529,3451,4264,9549,1185,196,294,2108,3036,3771,3065
216,33271,16706,16565,7106,18450,7715,14741,10098,6539,730,1163,4612,6064,7572,7917
217,9252,4847,4405,3020,4514,1718,7971,830,283,61,107,969,1564,1809,1890
218,9633,4086,5547,1939,5349,2345,1551,7546,336,49,151,1259,2046,2514,1875
219,8292,3641,4651,1634,4701,1957,1698,6001,390,73,130,1069,1698,2202,1689
220,13445,6482,6963,2492,7566,3387,9892,2280,913,105,255,1481,2291,3106,4075
221,11052,5316,5736,2468,6051,2533,7067,2451,1232,81,221,1253,1731,2529,3071
222,5745,2412,3333,1352,3090,1303,2221,3169,231,34,90,707,1085,1388,1213
223,25992,13304,12688,6410,15112,4470,21321,1762,2281,179,449,2362,3879,5412,7929
224,10453,4933,5520,3243,5009,2201,8363,623,1196,39,232,574,1162,1842,3632
225,26010,11928,14082,7208,14524,4278,9575,14496,1219,210,510,3137,4476,5897,5292
226,26134,13518,12616,5695,15194,5245,18837,2193,4304,260,540,3009,4111,5628,7691
227,24255,11817,12438,5448,14093,4714,13115,2107,8334,292,407,3591,4067,4873,6276
228,20567,10296,10271,5032,11803,3732,14598,2346,2936,257,430,2858,3353,4255,5069
229,13270,6577,6693,3083,6925,3262,10974,517,1549,61,169,774,1549,2574,5290
230,4275,2345,1930,1018,2364,893,2946,478,725,30,96,320,610,832,1495
231,10429,5731,4698,2077,6453,1899,8215,673,1317,62,162,649,1375,1957,4371
232,18223,8818,9405,4238,10164,3821,10685,2647,4347,181,363,2353,2801,3762,5069
233,9600,4771,4829,2850,5011,1739,7192,541,1650,55,162,536,1069,1631,3514
234,9158,4822,4336,2165,5506,1487,7196,630,1114,59,159,559,1178,1728,3528
235,20873,9642,11231,5561,11461,3851,11274,7936,858,330,475,3386,3897,4536,3493
236,17059,8600,8459,3224,9055,4780,14646,739,1355,89,230,1019,2201,3510,7105
237,8327,4261,4066,1457,4301,2569,7080,412,653,51,131,570,1116,1713,3471
238,24692,12221,12471,4462,13823,6407,19507,2650,1942,154,439,1951,3459,5244,9576
239,21317,10668,10649,3773,12367,5177,18088,1162,1653,120,294,1364,2973,4415,8792
240,151,67,84,41,65,45,84,45,15,0,7,21,29,29,31
241,19765,9203,10562,4286,11216,4263,12190,5644,1163,286,482,3060,3629,4561,4229
242,11527,5588,5939,2623,6422,2482,7648,2326,1114,163,276,1551,2008,2565,2780
243,31198,15449,15749,7559,17214,6425,23997,4515,1590,391,705,4217,5187,6441,7794
244,36215,17924,18291,9977,19451,6787,24901,7955,1990,541,828,5430,6064,7373,7371
245,7635,3691,3944,1539,4218,1878,5919,1015,531,59,111,656,1215,1740,2485
246,5131,2746,2385,1320,3166,645,3710,528,766,31,96,386,652,991,1782
247,15207,7392,7815,3917,8493,2797,8859,5002,777,230,339,2574,2870,3256,2590
248,12299,6058,6241,3001,6933,2365,6709,4438,677,215,260,1994,2266,2792,2246
249,13260,6854,6406,3574,7239,2447,11254,655,1060,77,214,799,1625,2417,4845
250,10987,5386,5601,2460,6240,2287,6517,2906,1113,184,267,1651,2107,2500,2269
251,11547,5736,5811,2360,6458,2729,9548,826,943,69,161,901,1745,2575,3966
252,14129,6997,7132,2654,7831,3644,10878,694,2240,88,229,1333,2239,3274,4629
253,187,90,97,54,90,43,89,43,38,9,8,26,27,36,44
254,24411,10626,13785,5448,13508,5455,7845,14849,1015,252,450,3446,4825,6041,4651
255,11668,6111,5557,3113,7326,1229,9442,705,1207,92,222,910,1473,2236,3936
256,15990,8043,7947,4974,8929,2087,13019,1451,1019,154,347,1757,2397,3019,3843
257,11433,5568,5865,2059,7206,2168,9068,1077,997,86,205,1009,1746,2608,4011
258,25376,12976,12400,5656,14297,5423,16696,3786,3901,393,600,3696,4531,5569,5924
259,18811,8658,10153,4229,10306,4276,7920,9308,1062,165,356,2315,3489,4589,4189
260,20350,10535,9815,4357,11574,4419,12649,1756,5304,217,424,2535,3067,4341,6050
261,3221,1617,1604,1082,1753,386,2400,209,535,18,59,181,327,510,1121
262,16665,7592,9073,3749,9163,3753,13801,1127,1427,97,213,1025,2123,3353,6415
263,23119,10733,12386,6079,13049,3991,18716,1468,2451,126,358,1349,2763,4482,8446
